тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;apple;iPad;16Gb Wi-Fi MB292LL ;;apple iPad 16Gb Wi-Fi MB292LL ;;;;;;;;;;;;;;;
планшет;apple;iPad;2 16Gb Wi-Fi ;;apple iPad 2 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;2 16Gb Wi-Fi 3G ;;apple iPad 2 16Gb Wi-Fi 3G ;;;;;;;;;;;;;;;
планшет;apple;iPad;2 32Gb Wi-Fi ;;apple iPad 2 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;2 32Gb Wi-Fi 3G ;;apple iPad 2 32Gb Wi-Fi 3G ;;;;;;;;;;;;;;;
планшет;apple;iPad;2 64Gb Wi-Fi ;;apple iPad 2 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;2 64Gb Wi-Fi 3G ;;apple iPad 2 64Gb Wi-Fi 3G ;;;;;;;;;;;;;;;
планшет;apple;iPad;2010 16Gb Wi-Fi ;;apple iPad 2010 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;2010 64Gb Wi-Fi ;;apple iPad 2010 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;2010 64Gb Wi-Fi 3G ;;apple iPad 2010 64Gb Wi-Fi 3G ;;;;;;;;;;;;;;;
телефон;apple;iPhone;2G;1;apple iPhone 2G;;;;;;;;;;;;;;;
планшет;apple;iPad;3 16Gb Wi-Fi ;;apple iPad 3 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;3 16Gb Wi-Fi Cellular ;;apple iPad 3 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;3 32Gb Wi-Fi ;;apple iPad 3 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;3 32Gb Wi-Fi Cellular ;;apple iPad 3 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;3 64Gb Wi-Fi ;;apple iPad 3 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;3 64Gb Wi-Fi Cellular ;;apple iPad 3 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;32Gb Wi-Fi ;;apple iPad 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;32Gb Wi-Fi 3G ;;apple iPad 32Gb Wi-Fi 3G ;;;;;;;;;;;;;;;
планшет;apple;iPad;32Gb Wi-Fi Cellular ;;apple iPad 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
телефон;apple;iPhone;3G;1;apple iPhone 3G;;;;;;;;;;;;;;;
телефон;apple;iPhone;3G 8Gb;;apple iPhone 3G 8Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;3GS;1;apple iPhone 3GS;;;;;;;;;;;;;;;
телефон;apple;iPhone;3GS 16Gb;;apple iPhone 3GS 16Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;3GS 8Gb;;apple iPhone 3GS 8Gb;;;;;;;;;;;;;;;
планшет;apple;iPad;4 128Gb Wi-Fi ;;apple iPad 4 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;4 128Gb Wi-Fi Cellular ;;apple iPad 4 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
телефон;apple;iPhone;4 16Gb;;apple iPhone 4 16Gb;;;;;;;;;;;;;;;
планшет;apple;iPad;4 16Gb Wi-Fi ;;apple iPad 4 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;4 16Gb Wi-Fi Cellular ;;apple iPad 4 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
телефон;apple;iPhone;4 32Gb;;apple iPhone 4 32Gb;;;;;;;;;;;;;;;
