тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand I9080 ;;Samsung Galaxy Grand I9080 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand I9082 ;;Samsung Galaxy Grand I9082 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand Prime SM G530H ;1;Samsung Galaxy Grand Prime SM G530H ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand Prime VE Duos SM G531H ;;Samsung Galaxy Grand Prime VE Duos SM G531H ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand Prime VE Duos SM G531H DS ;;Samsung Galaxy Grand Prime VE Duos SM G531H DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand Prime VE SM G531F ;;Samsung Galaxy Grand Prime VE SM G531F ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;GT S8500 ;;Samsung Wave GT S8500 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;i550 ;;Samsung SGH i550 ;;;;;;;;;;;;;;;
телефон;Samsung;GT;I5500 ;;Samsung GT I5500 ;;;;;;;;;;;;;;;
телефон;Samsung;GT;I8000 ;1;Samsung GT I8000 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;I9060 ;;Samsung Galaxy I9060 ;;;;;;;;;;;;;;;
телефон;Samsung;Star;II Duos C6712 ;;Samsung Star II Duos C6712 ;;;;;;;;;;;;;;;
телефон;Samsung;Star;II S5260 ;;Samsung Star II S5260 ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;II S8530 ;;Samsung Wave II S8530 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 2016 ;1;Samsung Galaxy J1 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 2016 SM J120F DS ;1;Samsung Galaxy J1 2016 SM J120F DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 2016 SM J120H DS ;;Samsung Galaxy J1 2016 SM J120H DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 Mini 2016 ;;Samsung Galaxy J1 Mini 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 mini Prime ;1;Samsung Galaxy J1 mini Prime ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 Mini Prime 2016 ;;Samsung Galaxy J1 Mini Prime 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 Mini Prime 2016 SM J106F DS ;;Samsung Galaxy J1 Mini Prime 2016 SM J106F DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 Mini Prime 2016 SM J106H DS ;;Samsung Galaxy J1 Mini Prime 2016 SM J106H DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 Mini SM J105H ;1;Samsung Galaxy J1 Mini SM J105H ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J1 SM J100F ;;Samsung Galaxy J1 SM J100F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J2 Prime ;1;Samsung Galaxy J2 Prime ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J2 Prime SM G532F ;1;Samsung Galaxy J2 Prime SM G532F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J3 2016 ;1;Samsung Galaxy J3 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J3 2016 SM J320F DS ;;Samsung Galaxy J3 2016 SM J320F DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J3 2017 ;1;Samsung Galaxy J3 2017 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J3 Pro ;;Samsung Galaxy J3 Pro ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J5 2016 ;1;Samsung Galaxy J5 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J5 2017 ;1;Samsung Galaxy J5 2017 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J5 2017 16GB ;;Samsung Galaxy J5 2017 16GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J5 Prime ;1;Samsung Galaxy J5 Prime ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J5 Prime SM G570F ;;Samsung Galaxy J5 Prime SM G570F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J5 Pro 2017 ;;Samsung Galaxy J5 Pro 2017 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J5 SM J500H DS ;;Samsung Galaxy J5 SM J500H DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J7 2016 ;1;Samsung Galaxy J7 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J7 2016 SM J710F ;;Samsung Galaxy J7 2016 SM J710F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J7 2017 ;1;Samsung Galaxy J7 2017 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J7 Core ;;Samsung Galaxy J7 Core ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J7 Neo ;1;Samsung Galaxy J7 Neo ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J7 Prime ;;Samsung Galaxy J7 Prime ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;J7 Pro ;;Samsung Galaxy J7 Pro ;;;;;;;;;;;;;;;
ноутбук;samsung;r530;jt03 ;;samsung r530 jt03 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;K Zoom SM C115 ;;Samsung Galaxy K Zoom SM C115 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;L320 ;;Samsung SGH L320 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;L870 ;;Samsung SGH L870 ;;;;;;;;;;;;;;;
телефон;Samsung;C3520;La Fleur ;;Samsung C3520 La Fleur ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;M S7250 ;;Samsung Wave M S7250 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;M600 ;;Samsung SGH M600 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;mini 2 S6500 ;;Samsung Galaxy mini 2 S6500 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Nexus GT I9250 ;;Samsung Galaxy Nexus GT I9250 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Nexus I9250 ;;Samsung Galaxy Nexus I9250 ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Note 10 1 N8000 16Gb ;;samsung Galaxy Note 10 1 N8000 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Note 10 1 N8000 32Gb ;;samsung Galaxy Note 10 1 N8000 32Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Note 10 1 N8000 64Gb ;;samsung Galaxy Note 10 1 N8000 64Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 3 32Gb ;;Samsung Galaxy Note 3 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 3 Neo SM N7505 ;;Samsung Galaxy Note 3 Neo SM N7505 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 3 SM N9005 ;;Samsung Galaxy Note 3 SM N9005 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 3 SM N9005 32GB ;;Samsung Galaxy Note 3 SM N9005 32GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 4 SM N910C ;;Samsung Galaxy Note 4 SM N910C ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 5 32Gb ;;Samsung Galaxy Note 5 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 5 64Gb ;;Samsung Galaxy Note 5 64Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note 8 ;1;Samsung Galaxy Note 8 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note Edge 32Gb ;;Samsung Galaxy Note Edge 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note GT N7000 ;;Samsung Galaxy Note GT N7000 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note III ;;Samsung Galaxy Note III ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;On Max ;1;Samsung Galaxy On Max ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Pocket Duos S5302 ;;Samsung Galaxy Pocket Duos S5302 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Pocket Neo GT S5310 ;;Samsung Galaxy Pocket Neo GT S5310 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Pocket Neo S5310 ;;Samsung Galaxy Pocket Neo S5310 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;R GT I9103 ;;Samsung Galaxy R GT I9103 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;R I9103 ;;Samsung Galaxy R I9103 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Duos 2 GT S7582 ;;Samsung Galaxy S Duos 2 GT S7582 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Duos 2 S7582 ;;Samsung Galaxy S Duos 2 S7582 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Duos 3 ;;Samsung Galaxy S Duos 3 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Duos GT S7562 ;1;Samsung Galaxy S Duos GT S7562 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Duos S7562 ;1;Samsung Galaxy S Duos S7562 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S I9000 ;;Samsung Galaxy S I9000 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S II GT I9100 ;;Samsung Galaxy S II GT I9100 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S II I9100 ;1;Samsung Galaxy S II I9100 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S III mini 8Gb ;;Samsung Galaxy S III mini 8Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S III mini GT I8190N 8Gb ;;Samsung Galaxy S III mini GT I8190N 8Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Plus I9001 ;;Samsung Galaxy S Plus I9001 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S2 I9100 ;1;Samsung Galaxy S2 I9100 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S3 Duos GT I9300I ;1;Samsung Galaxy S3 Duos GT I9300I ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S3 Neo GT I9301I ;;Samsung Galaxy S3 Neo GT I9301I ;;;;;;;;;;;;;;;
телефон;Samsung;Corby;S3650 ;;Samsung Corby S3650 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 16Gb i9500 ;;Samsung Galaxy S4 16Gb i9500 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 16Gb i9505 ;;Samsung Galaxy S4 16Gb i9505 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 Active GT I9295 ;;Samsung Galaxy S4 Active GT I9295 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 Active I9295 ;;Samsung Galaxy S4 Active I9295 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 GT I9500 16GB ;;Samsung Galaxy S4 GT I9500 16GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 GT I9505 16GB ;;Samsung Galaxy S4 GT I9505 16GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 I9500 ;1;Samsung Galaxy S4 I9500 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 i9502 ;;Samsung Galaxy S4 i9502 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 mini Duos GT I9192 ;;Samsung Galaxy S4 mini Duos GT I9192 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 mini GT I9190 ;;Samsung Galaxy S4 mini GT I9190 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 mini GT I9195 ;1;Samsung Galaxy S4 mini GT I9195 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 mini I9190 ;1;Samsung Galaxy S4 mini I9190 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 mini I9195 ;1;Samsung Galaxy S4 mini I9195 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S4 Zoom SM C101 ;;Samsung Galaxy S4 Zoom SM C101 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S5 16Gb ;;Samsung Galaxy S5 16Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S5 Active ;;Samsung Galaxy S5 Active ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S5 LTE A ;;Samsung Galaxy S5 LTE A ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S5 mini Duos ;;Samsung Galaxy S5 mini Duos ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S5 mini SM G800F ;;Samsung Galaxy S5 mini SM G800F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S5 mini SM G800H ;;Samsung Galaxy S5 mini SM G800H ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S5 Neo ;;Samsung Galaxy S5 Neo ;;;;;;;;;;;;;;;
телефон;Samsung;GT;S5230 La Fleur ;;Samsung GT S5230 La Fleur ;;;;;;;;;;;;;;;
телефон;Samsung;GT;S5302 ;;Samsung GT S5302 ;;;;;;;;;;;;;;;
телефон;Samsung;GT;S5610 ;;Samsung GT S5610 ;;;;;;;;;;;;;;;
телефон;Samsung;GT;S5611 ;;Samsung GT S5611 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S6 32Gb ;1;Samsung Galaxy S6 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S6 64Gb ;;Samsung Galaxy S6 64Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S6 Active ;1;Samsung Galaxy S6 Active ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S6 Duos 32Gb ;;Samsung Galaxy S6 Duos 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S6 Duos 64GB ;;Samsung Galaxy S6 Duos 64GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S6 Edge 32Gb ;1;Samsung Galaxy S6 Edge 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S7 32Gb ;1;Samsung Galaxy S7 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S7 64Gb ;;Samsung Galaxy S7 64Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S7 Active ;;Samsung Galaxy S7 Active ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S7 Edge 32Gb ;1;Samsung Galaxy S7 Edge 32Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S7 Edge 64Gb ;;Samsung Galaxy S7 Edge 64Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S8 ;1;Samsung Galaxy S8 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S8 128GB ;;Samsung Galaxy S8 128GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S8 64GB ;;Samsung Galaxy S8 64GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S8 Edge ;1;Samsung Galaxy S8 Edge ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S8 Plus ;1;Samsung Galaxy S8 Plus ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;S8500 ;;Samsung Wave S8500 ;;;;;;;;;;;;;;;
телефон;Samsung;Ego;S9402 ;;Samsung Ego S9402 ;;;;;;;;;;;;;;;
телефон;Samsung;ATIV;SE ;;Samsung ATIV SE ;;;;;;;;;;;;;;;
планшет;samsung;ATIV;Smart PC Pro XE700T1C-A02 128Gb dock ;;samsung ATIV Smart PC Pro XE700T1C-A02 128Gb dock ;;;;;;;;;;;;;;;
планшет;samsung;ATIV;Smart PC Pro XE700T1C-A0A 128Gb dock ;;samsung ATIV Smart PC Pro XE700T1C-A0A 128Gb dock ;;;;;;;;;;;;;;;
планшет;samsung;ATIV;Smart PC Pro XE700T1C-G01 128Gb 3G dock ;;samsung ATIV Smart PC Pro XE700T1C-G01 128Gb 3G dock ;;;;;;;;;;;;;;;
планшет;samsung;ATIV;Smart PC XE500T1C-A02 64Gb ;;samsung ATIV Smart PC XE500T1C-A02 64Gb ;;;;;;;;;;;;;;;
планшет;samsung;ATIV;Smart PC XE500T1C-H01 64Gb 3G dock ;;samsung ATIV Smart PC XE500T1C-H01 64Gb 3G dock ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star 2 ;;Samsung Galaxy Star 2 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star 2 Plus ;;Samsung Galaxy Star 2 Plus ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star Advance SM G350E ;;Samsung Galaxy Star Advance SM G350E ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star GT S5282 ;;Samsung Galaxy Star GT S5282 ;;;;;;;;;;;;;;;
телефон;Samsung;S5260;Star II ;;Samsung S5260 Star II ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star Plus GT S7262 ;;Samsung Galaxy Star Plus GT S7262 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star Pro S7260 ;;Samsung Galaxy Star Pro S7260 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star S5282 ;;Samsung Galaxy Star S5282 ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab 2 10 1 P5100 16Gb ;;samsung Galaxy Tab 2 10 1 P5100 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab 2 10 1 P5110 16Gb ;;samsung Galaxy Tab 2 10 1 P5110 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab 3 10 1 P5200 16Gb ;;samsung Galaxy Tab 3 10 1 P5200 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab 3 10 1 P5210 16Gb ;;samsung Galaxy Tab 3 10 1 P5210 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab 3 7 0 SM-T211 8Gb ;;samsung Galaxy Tab 3 7 0 SM-T211 8Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab 4 10 1 SM-T531 16Gb ;;samsung Galaxy Tab 4 10 1 SM-T531 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab A 10 1 SM-T585 16Gb ;;samsung Galaxy Tab A 10 1 SM-T585 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab A 7 0 SM-T280 8Gb ;;samsung Galaxy Tab A 7 0 SM-T280 8Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab A 7 0 SM-T285 8Gb ;;samsung Galaxy Tab A 7 0 SM-T285 8Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab A 8 0 SM-T355 16Gb ;;samsung Galaxy Tab A 8 0 SM-T355 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab P1000 16Gb ;;samsung Galaxy Tab P1000 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab P1010 16Gb ;;samsung Galaxy Tab P1010 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab S 10 5 SM-T805 16Gb ;;samsung Galaxy Tab S 10 5 SM-T805 16Gb ;;;;;;;;;;;;;;;
планшет;samsung;Galaxy;Tab S3 9 7 SM-T825 LTE 32Gb ;;samsung Galaxy Tab S3 9 7 SM-T825 LTE 32Gb ;;;;;;;;;;;;;;;
планшет;Samsung;Galaxy;TabPro S 128Gb LTE ;;Samsung Galaxy TabPro S 128Gb LTE ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Trend S7390 ;;Samsung Galaxy Trend S7390 ;;;;;;;;;;;;;;;
телефон;Samsung;Star;TV S5233T ;;Samsung Star TV S5233T ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;U600 ;;Samsung SGH U600 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;U700 ;;Samsung SGH U700 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;W GT I8150 ;;Samsung Galaxy W GT I8150 ;;;;;;;;;;;;;;;
телефон;Samsung;Omnia;W GT I8350 ;;Samsung Omnia W GT I8350 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;W I8150 ;;Samsung Galaxy W I8150 ;;;;;;;;;;;;;;;
телефон;Samsung;Omnia;W I8350 ;;Samsung Omnia W I8350 ;;;;;;;;;;;;;;;
телефон;Samsung;S8500;Wave ;;Samsung S8500 Wave ;;;;;;;;;;;;;;;
телефон;Samsung;S5250;Wave 525 La Fleur ;;Samsung S5250 Wave 525 La Fleur ;;;;;;;;;;;;;;;
телефон;Samsung;S7250;Wave M ;;Samsung S7250 Wave M ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Win GT I8552 ;1;Samsung Galaxy Win GT I8552 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Win I8550 ;;Samsung Galaxy Win I8550 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Win I8552 ;1;Samsung Galaxy Win I8552 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;X210 ;;Samsung SGH X210 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;X600 ;;Samsung SGH X600 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;X830 ;;Samsung SGH X830 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Xcover 2 S7710 ;;Samsung Galaxy Xcover 2 S7710 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Xcover 3 ;;Samsung Galaxy Xcover 3 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;xCover S5690 ;;Samsung Galaxy xCover S5690 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Y Duos GT S6102 ;;Samsung Galaxy Y Duos GT S6102 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Y Duos S6102 ;;Samsung Galaxy Y Duos S6102 ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;Y S5380D ;;Samsung Wave Y S5380D ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Young 2 ;;Samsung Galaxy Young 2 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;acro ;1;Sony Xperia acro ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;active ;;Sony Xperia active ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;arc ;;Sony Xperia arc ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;arc S ;;Sony Xperia arc S ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Aspen ;;Sony Ericsson Aspen ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;C902 ;;Sony Ericsson C902 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;C905 ;;Sony Ericsson C905 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Cedar ;;Sony Ericsson Cedar ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;E3 D2203 ;;Sony Xperia E3 D2203 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;G900 ;;Sony Ericsson G900 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Go ST27i ;1;Sony Xperia Go ST27i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;ion ;1;Sony Xperia ion ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;ion Lt28i ;;Sony Xperia ion Lt28i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;J st26i ;1;Sony Xperia J st26i ;;;;;;;;;;;;;;;
телефон;Sony;Hazel;J20 ;;Sony Hazel J20 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;J20 Hazel ;;Sony Ericsson J20 Hazel ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;K530i ;;Sony Ericsson K530i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;K610i ;;Sony Ericsson K610i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;K770i ;;Sony Ericsson K770i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;K790i ;1;Sony Ericsson K790i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;K800i ;;Sony Ericsson K800i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;K810i ;;Sony Ericsson K810i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;K850i ;;Sony Ericsson K850i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;L1 ;1;Sony Xperia L1 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;L1 Dual ;;Sony Xperia L1 Dual ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Live with Walkman WT19i ;;Sony Ericsson Live with Walkman WT19i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;M dual ;;Sony Xperia M dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;M2 D2303 ;;Sony Xperia M2 D2303 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;M2 D2305 ;;Sony Xperia M2 D2305 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;M2 Dual sim D2302 ;;Sony Xperia M2 Dual sim D2302 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;M4 Aqua Dual E2312 ;1;Sony Xperia M4 Aqua Dual E2312 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;M4 Aqua Dual E2333 ;;Sony Xperia M4 Aqua Dual E2333 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;M4 Aqua E2303 ;;Sony Xperia M4 Aqua E2303 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;mini ;1;Sony Xperia mini ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;mini pro ;;Sony Xperia mini pro ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;miro ;1;Sony Xperia miro ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;miro ST23i ;;Sony Xperia miro ST23i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;neo ;1;Sony Xperia neo ;;;;;;;;;;;;;;;
планшет;sony;Tablet;P 4Gb ;;sony Tablet P 4Gb ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;P LT22i ;1;Sony Xperia P LT22i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;P1i ;;Sony Ericsson P1i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;P990i ;;Sony Ericsson P990i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;pro ;;Sony Xperia pro ;;;;;;;;;;;;;;;
телефон;Sony;Vivaz;pro U8i ;;Sony Vivaz pro U8i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;ray ;1;Sony Xperia ray ;;;;;;;;;;;;;;;
планшет;sony;Tablet;S 16Gb ;;sony Tablet S 16Gb ;;;;;;;;;;;;;;;
планшет;sony;Tablet;S 16Gb 3G ;;sony Tablet S 16Gb 3G ;;;;;;;;;;;;;;;
планшет;sony;Tablet;S 32Gb ;;sony Tablet S 32Gb ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;S LT26i ;1;Sony Xperia S LT26i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;S500i ;;Sony Ericsson S500i ;;;;;;;;;;;;;;;
